rule_id,scanner,category,source_file,table_name,index,severity_hint
LC-GEN-018,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,0,
LC-GEN-019,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,1,
LC-GEN-020,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,2,
LC-GEN-021,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,3,
LC-GEN-022,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,4,
LC-GEN-023,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,5,
LC-GEN-024,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,6,
LC-GEN-025,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,7,
LC-GEN-026,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,8,
LC-GEN-027,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,9,
LC-GEN-028,LC,GEN,scan_lifecycle.py,INSTALL_SCRIPT_IOC_PATTERNS,10,
LC-GEN-029,LC,GEN,scan_lifecycle.py,PTH_EXEC_PATTERNS,0,
LC-GEN-030,LC,GEN,scan_lifecycle.py,PTH_EXEC_PATTERNS,1,
LC-GEN-031,LC,GEN,scan_lifecycle.py,PTH_EXEC_PATTERNS,2,
LC-GEN-032,LC,GEN,scan_lifecycle.py,PTH_EXEC_PATTERNS,3,
LC-GEN-033,LC,GEN,scan_lifecycle.py,PTH_EXEC_PATTERNS,4,
LC-GEN-034,LC,GEN,scan_lifecycle.py,PTH_EXEC_PATTERNS,5,
MC-PI-001,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,0,
MC-PI-002,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,1,
MC-PI-003,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,2,
MC-PI-004,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,3,
MC-PI-005,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,4,
MC-PI-006,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,5,
MC-PI-007,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,6,
MC-PI-008,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,7,
MC-PI-009,MC,PI,scan_mcp_security.py,SQL_INJECTION_PATTERNS,8,
MC-PI-010,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,0,
MC-PI-011,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,1,
MC-PI-012,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,2,
MC-PI-013,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,3,
MC-PI-014,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,4,
MC-PI-015,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,5,
MC-PI-016,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,6,
MC-PI-017,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,7,
MC-PI-018,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,8,
MC-PI-019,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,9,
MC-PI-020,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,10,
MC-PI-021,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,11,
MC-PI-022,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,12,
MC-PI-023,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,13,
MC-PI-024,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,14,
MC-PI-025,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,15,
MC-PI-026,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,16,
MC-PI-027,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,17,
MC-PI-028,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,18,
MC-PI-029,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,19,
MC-PI-030,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,20,
MC-PI-031,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,21,
MC-PI-032,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,22,
MC-PI-033,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,23,
MC-PI-034,MC,PI,scan_mcp_security.py,TOOL_INJECTION_KEYWORDS,24,
MC-GEN-001,MC,GEN,scan_mcp_security.py,TOOL_SHADOWING_PATTERNS,0,
MC-GEN-002,MC,GEN,scan_mcp_security.py,TOOL_SHADOWING_PATTERNS,1,
MC-GEN-003,MC,GEN,scan_mcp_security.py,TOOL_SHADOWING_PATTERNS,2,
MC-GEN-004,MC,GEN,scan_mcp_security.py,TOOL_SHADOWING_PATTERNS,3,
MC-PI-035,MC,PI,scan_mcp_security.py,SAMPLING_INJECTION_PATTERNS,0,
MC-PI-036,MC,PI,scan_mcp_security.py,SAMPLING_INJECTION_PATTERNS,1,
MC-PI-037,MC,PI,scan_mcp_security.py,SAMPLING_INJECTION_PATTERNS,2,
MC-PI-038,MC,PI,scan_mcp_security.py,SAMPLING_INJECTION_PATTERNS,3,
MC-GEN-005,MC,GEN,scan_mcp_security.py,CROSS_DOMAIN_PATTERNS,0,
MC-GEN-006,MC,GEN,scan_mcp_security.py,CROSS_DOMAIN_PATTERNS,1,
MC-GEN-007,MC,GEN,scan_mcp_security.py,CROSS_DOMAIN_PATTERNS,2,
MC-GEN-008,MC,GEN,scan_mcp_security.py,CROSS_DOMAIN_PATTERNS,3,
MC-EX-001,MC,EX,scan_mcp_security.py,LOG_EXFIL_PATTERNS,0,
MC-EX-002,MC,EX,scan_mcp_security.py,LOG_EXFIL_PATTERNS,1,
MC-EX-003,MC,EX,scan_mcp_security.py,LOG_EXFIL_PATTERNS,2,
MC-EX-004,MC,EX,scan_mcp_security.py,LOG_EXFIL_PATTERNS,3,
MC-GEN-009,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,0,
MC-GEN-010,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,1,
MC-GEN-011,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,2,
MC-GEN-012,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,3,
MC-GEN-013,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,4,
MC-GEN-014,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,5,
MC-GEN-015,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,6,
MC-GEN-016,MC,GEN,scan_mcp_security.py,RUG_PULL_PATTERNS,7,
RD-GEN-001,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,0,
RD-GEN-002,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,1,
RD-GEN-003,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,2,
RD-GEN-004,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,3,
RD-GEN-005,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,4,
RD-GEN-006,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,5,
RD-GEN-007,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,6,
RD-GEN-008,RD,GEN,scan_runtime_dynamism.py,DYNAMIC_IMPORT_PATTERNS,7,
RD-GEN-009,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,0,
RD-GEN-010,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,1,
RD-GEN-011,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,2,
RD-GEN-012,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,3,
RD-GEN-013,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,4,
RD-GEN-014,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,5,
RD-GEN-015,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,6,
RD-GEN-016,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,7,
RD-GEN-017,RD,GEN,scan_runtime_dynamism.py,FETCH_EXECUTE_PATTERNS,8,
RD-GEN-018,RD,GEN,scan_runtime_dynamism.py,SELF_MOD_PATTERNS,0,
RD-GEN-019,RD,GEN,scan_runtime_dynamism.py,SELF_MOD_PATTERNS,1,
RD-GEN-020,RD,GEN,scan_runtime_dynamism.py,SELF_MOD_PATTERNS,2,
RD-GEN-021,RD,GEN,scan_runtime_dynamism.py,SELF_MOD_PATTERNS,3,
RD-GEN-022,RD,GEN,scan_runtime_dynamism.py,SELF_MOD_PATTERNS,4,
RD-GEN-023,RD,GEN,scan_runtime_dynamism.py,SELF_MOD_PATTERNS,5,
RD-GEN-024,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,0,
RD-GEN-025,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,1,
RD-GEN-026,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,2,
RD-GEN-027,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,3,
RD-GEN-028,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,4,
RD-GEN-029,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,5,
RD-GEN-030,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,6,
RD-GEN-031,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,7,
RD-GEN-032,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,8,
RD-GEN-033,RD,GEN,scan_runtime_dynamism.py,TIME_BOMB_PATTERNS,9,
RD-GEN-034,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,0,
RD-GEN-035,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,1,
RD-GEN-036,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,2,
RD-GEN-037,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,3,
RD-GEN-038,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,4,
RD-GEN-039,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,5,
RD-GEN-040,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,6,
RD-GEN-041,RD,GEN,scan_runtime_dynamism.py,WORM_PROPAGATION_PATTERNS,7,
RD-GEN-042,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,0,
RD-GEN-043,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,1,
RD-GEN-044,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,2,
RD-GEN-045,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,3,
RD-GEN-046,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,4,
RD-GEN-047,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,5,
RD-GEN-048,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,6,
RD-GEN-049,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,7,
RD-GEN-050,RD,GEN,scan_runtime_dynamism.py,COUNTER_PROBABILISTIC_PATTERNS,8,
RD-GEN-051,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,0,
RD-GEN-052,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,1,
RD-GEN-053,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,2,
RD-GEN-054,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,3,
RD-GEN-055,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,4,
RD-GEN-056,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,5,
RD-GEN-057,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,6,
RD-GEN-058,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,7,
RD-GEN-059,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,8,
RD-GEN-060,RD,GEN,scan_runtime_dynamism.py,LOCALE_GATING_PATTERNS,9,
SA-SAST-001,SA,SAST,scan_sast.py,SAST_PATTERNS,0,
SA-SAST-002,SA,SAST,scan_sast.py,SAST_PATTERNS,1,
SA-SAST-003,SA,SAST,scan_sast.py,SAST_PATTERNS,2,
SA-SAST-004,SA,SAST,scan_sast.py,SAST_PATTERNS,3,
SA-SAST-005,SA,SAST,scan_sast.py,SAST_PATTERNS,4,
SA-SAST-006,SA,SAST,scan_sast.py,SAST_PATTERNS,5,
SA-SAST-007,SA,SAST,scan_sast.py,SAST_PATTERNS,6,
SA-SAST-008,SA,SAST,scan_sast.py,SAST_PATTERNS,7,
SA-SAST-009,SA,SAST,scan_sast.py,SAST_PATTERNS,8,
SA-SAST-010,SA,SAST,scan_sast.py,SAST_PATTERNS,9,
SA-SAST-011,SA,SAST,scan_sast.py,SAST_PATTERNS,10,
SA-GEN-001,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,0,
SA-GEN-002,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,1,
SA-GEN-003,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,2,
SA-GEN-004,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,3,
SA-GEN-005,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,4,
SA-GEN-006,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,5,
SA-GEN-007,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,6,
SA-GEN-008,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,7,
SA-GEN-009,SA,GEN,scan_sast.py,CSS_STEG_PATTERNS,8,
ST-PI-001,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,0,
ST-PI-002,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,1,
ST-PI-003,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,2,
ST-PI-004,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,3,
ST-PI-005,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,4,
ST-PI-006,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,5,
ST-PI-007,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,6,
ST-PI-008,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,7,
ST-PI-009,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,8,
ST-PI-010,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,9,
ST-PI-011,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,10,
ST-PI-012,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,11,
ST-PI-013,ST,PI,scan_skill_threats.py,PROMPT_INJECTION_PATTERNS,12,
ST-HG-001,ST,HG,scan_skill_threats.py,HOMOGLYPHS,0,
ST-HG-002,ST,HG,scan_skill_threats.py,HOMOGLYPHS,1,
ST-HG-003,ST,HG,scan_skill_threats.py,HOMOGLYPHS,2,
ST-HG-004,ST,HG,scan_skill_threats.py,HOMOGLYPHS,3,
ST-HG-005,ST,HG,scan_skill_threats.py,HOMOGLYPHS,4,
ST-HG-006,ST,HG,scan_skill_threats.py,HOMOGLYPHS,5,
ST-HG-007,ST,HG,scan_skill_threats.py,HOMOGLYPHS,6,
ST-HG-008,ST,HG,scan_skill_threats.py,HOMOGLYPHS,7,
ST-HG-009,ST,HG,scan_skill_threats.py,HOMOGLYPHS,8,
ST-HG-010,ST,HG,scan_skill_threats.py,HOMOGLYPHS,9,
ST-HG-011,ST,HG,scan_skill_threats.py,HOMOGLYPHS,10,
ST-HG-012,ST,HG,scan_skill_threats.py,HOMOGLYPHS,11,
ST-HG-013,ST,HG,scan_skill_threats.py,HOMOGLYPHS,12,
ST-HG-014,ST,HG,scan_skill_threats.py,HOMOGLYPHS,13,
ST-HG-015,ST,HG,scan_skill_threats.py,HOMOGLYPHS,14,
ST-HG-016,ST,HG,scan_skill_threats.py,HOMOGLYPHS,15,
ST-HG-017,ST,HG,scan_skill_threats.py,HOMOGLYPHS,16,
ST-PR-001,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,0,
ST-PR-002,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,1,
ST-PR-003,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,2,
ST-PR-004,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,3,
ST-PR-005,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,4,
ST-PR-006,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,5,
ST-PR-007,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,6,
ST-PR-008,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,7,
ST-PR-009,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,8,
ST-PR-010,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,9,
ST-PR-011,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,10,
ST-PR-012,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,11,
ST-PR-013,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,12,
ST-PR-014,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,13,
ST-PR-015,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,14,
ST-PR-016,ST,PR,scan_skill_threats.py,PREREQUISITE_PATTERNS,15,
ST-EX-001,ST,EX,scan_skill_threats.py,EXFIL_PATTERNS,0,
ST-EX-002,ST,EX,scan_skill_threats.py,EXFIL_PATTERNS,1,
ST-EX-003,ST,EX,scan_skill_threats.py,EXFIL_PATTERNS,2,
ST-EX-004,ST,EX,scan_skill_threats.py,EXFIL_PATTERNS,3,
ST-CR-001,ST,CR,scan_skill_threats.py,CREDENTIAL_PATH_PATTERNS,0,
ST-CR-002,ST,CR,scan_skill_threats.py,CREDENTIAL_PATH_PATTERNS,1,
ST-PE-001,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,0,
ST-PE-002,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,1,
ST-PE-003,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,2,
ST-PE-004,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,3,
ST-PE-005,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,4,
ST-PE-006,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,5,
ST-PE-007,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,6,
ST-PE-008,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,7,
ST-PE-009,ST,PE,scan_skill_threats.py,PERSISTENCE_PATTERNS,8,
ST-SP-001,ST,SP,scan_skill_threats.py,SCOPE_PATTERNS,0,
ST-SP-002,ST,SP,scan_skill_threats.py,SCOPE_PATTERNS,1,
ST-SP-003,ST,SP,scan_skill_threats.py,SCOPE_PATTERNS,2,
ST-SP-004,ST,SP,scan_skill_threats.py,SCOPE_PATTERNS,3,
ST-SP-005,ST,SP,scan_skill_threats.py,SCOPE_PATTERNS,4,
ST-SP-006,ST,SP,scan_skill_threats.py,SCOPE_PATTERNS,5,
ST-SP-007,ST,SP,scan_skill_threats.py,SCOPE_PATTERNS,6,
ST-ST-001,ST,ST,scan_skill_threats.py,STEALTH_PATTERNS,0,
ST-ST-002,ST,ST,scan_skill_threats.py,STEALTH_PATTERNS,1,
ST-ST-003,ST,ST,scan_skill_threats.py,STEALTH_PATTERNS,2,
ST-ST-004,ST,ST,scan_skill_threats.py,STEALTH_PATTERNS,3,
ST-ST-005,ST,ST,scan_skill_threats.py,STEALTH_PATTERNS,4,
ST-RB-001,ST,RB,scan_skill_threats.py,KNOWN_RAT_BINARY_PATHS,0,
ST-CF-001,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,0,
ST-CF-002,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,1,
ST-CF-003,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,2,
ST-CF-004,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,3,
ST-CF-005,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,4,
ST-CF-006,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,5,
ST-CF-007,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,6,
ST-CF-008,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,7,
ST-CF-009,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,8,
ST-CF-010,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,9,
ST-CF-011,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,10,
ST-CF-012,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,11,
ST-CF-013,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,12,
ST-CF-014,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,13,
ST-CF-015,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,14,
ST-CF-016,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,15,
ST-CF-017,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,16,
ST-CF-018,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,17,
ST-CF-019,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,18,
ST-CF-020,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,19,
ST-CF-021,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,20,
ST-CF-022,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,21,
ST-CF-023,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,22,
ST-CF-024,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,23,
ST-CF-025,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,24,
ST-CF-026,ST,CF,scan_skill_threats.py,CLICKFIX_PATTERNS,25,
ST-PI-014,ST,PI,scan_skill_threats.py,MCP_TOOL_INJECTION_PATTERNS,0,
ST-PI-015,ST,PI,scan_skill_threats.py,MCP_TOOL_INJECTION_PATTERNS,1,
ST-PI-016,ST,PI,scan_skill_threats.py,MCP_TOOL_INJECTION_PATTERNS,2,
ST-PI-017,ST,PI,scan_skill_threats.py,MCP_TOOL_INJECTION_PATTERNS,3,
ST-PI-018,ST,PI,scan_skill_threats.py,MCP_TOOL_INJECTION_PATTERNS,4,
ST-SA-001,ST,SA,scan_skill_threats.py,SUB_AGENT_SPAWN_PATTERNS,0,
ST-SA-002,ST,SA,scan_skill_threats.py,SUB_AGENT_SPAWN_PATTERNS,1,
ST-SA-003,ST,SA,scan_skill_threats.py,SUB_AGENT_SPAWN_PATTERNS,2,
ST-SA-004,ST,SA,scan_skill_threats.py,SUB_AGENT_SPAWN_PATTERNS,3,
ST-AU-001,ST,AU,scan_skill_threats.py,AUTHORITY_FRAMING_PATTERNS,0,
ST-AU-002,ST,AU,scan_skill_threats.py,AUTHORITY_FRAMING_PATTERNS,1,
